date,sales
2020-04-21,199.0
2020-04-22,201.0
2020-04-23,260.0
2020-04-24,194.0
2020-04-25,258.0
2020-04-26,243.0
2020-04-27,168.0
2020-04-28,226.0
2020-04-29,215.0
2020-04-30,216.0
2020-05-01,282.0
2020-05-02,343.0
2020-05-03,267.0
2020-05-04,267.0
2020-05-05,347.0
2020-05-06,265.0
2020-05-07,272.0
2020-05-08,273.0
2020-05-09,284.0
2020-05-10,342.0
2020-05-11,281.0
2020-05-12,269.0
2020-05-13,283.0
2020-05-14,268.0
2020-05-15,352.0
2020-05-16,335.0
2020-05-17,325.0
2020-05-18,310.0
2020-05-19,248.0
2020-05-20,289.0
2020-05-21,309.0
2020-05-22,238.0
2020-05-23,345.0
2020-05-24,287.0
2020-05-25,278.0
2020-05-26,219.0
2020-05-27,212.0
2020-05-28,265.0
2020-05-29,286.0
2020-05-30,322.0
2020-05-31,335.0
2020-06-01,155.0
2020-06-02,177.0
2020-06-03,178.0
2020-06-04,151.0
2020-06-05,215.0
2020-06-06,239.0
2020-06-07,192.0
2020-06-08,182.0
2020-06-09,140.0
2020-06-10,183.0
2020-06-11,191.0
2020-06-12,140.0
2020-06-13,241.0
2020-06-14,231.0
2020-06-15,178.0
2020-06-16,204.0
2020-06-17,149.0
2020-06-18,135.0
2020-06-19,131.0
2020-06-20,180.0
2020-06-21,191.0
2020-06-22,158.0
2020-06-23,155.0
2020-06-24,168.0
2020-06-25,147.0
2020-06-26,181.0
2020-06-27,189.0
2020-06-28,261.0
2020-06-29,157.0
2020-06-30,119.0
2020-07-01,113.0
2020-07-02,150.0
2020-07-03,131.0
2020-07-04,196.0
2020-07-05,187.0
2020-07-06,132.0
2020-07-07,111.0
2020-07-08,93.0
2020-07-09,119.0
2020-07-10,150.0
2020-07-11,171.0
2020-07-12,146.0
2020-07-13,130.0
2020-07-14,134.0
2020-07-15,101.0
2020-07-16,126.0
2020-07-17,123.0
2020-07-18,159.0
2020-07-19,190.0
2020-07-20,132.0
2020-07-21,144.0
2020-07-22,142.0
2020-07-23,80.0
2020-07-24,90.0
2020-07-25,180.0
2020-07-26,185.0
2020-07-27,123.0
2020-07-28,206.0
2020-07-29,123.0
2020-07-30,136.0
2020-07-31,130.0
2020-08-01,165.0
2020-08-02,143.0
2020-08-03,123.0
2020-08-04,83.0
2020-08-05,96.0
2020-08-06,89.0
2020-08-07,102.0
2020-08-08,207.0
2020-08-09,98.0
2020-08-10,115.0
2020-08-11,56.0
2020-08-12,84.0
2020-08-13,122.0
2020-08-14,96.0
2020-08-15,103.0
2020-08-16,117.0
2020-08-17,109.0
2020-08-18,73.0
2020-08-19,96.0
2020-08-20,91.0
2020-08-21,73.0
2020-08-22,191.0
2020-08-23,158.0
2020-08-24,37.0
2020-08-25,91.0
2020-08-26,70.0
2020-08-27,107.0
2020-08-28,65.0
2020-08-29,146.0
2020-08-30,156.0
2020-08-31,105.0
2020-09-01,53.0
2020-09-02,74.0
2020-09-03,70.0
2020-09-04,66.0
2020-09-05,173.0
2020-09-06,148.0
2020-09-07,49.0
2020-09-08,104.0
2020-09-09,133.0
2020-09-10,106.0
2020-09-11,42.0
2020-09-12,103.0
2020-09-13,138.0
2020-09-14,62.0
2020-09-15,90.0
2020-09-16,98.0
2020-09-17,56.0
2020-09-18,77.0
2020-09-19,62.0
2020-09-20,106.0
2020-09-21,72.0
2020-09-22,48.0
2020-09-23,120.0
2020-09-24,43.0
2020-09-25,68.0
2020-09-26,139.0
2020-09-27,155.0
2020-09-28,44.0
2020-09-29,109.0
2020-09-30,80.0
2020-10-01,55.0
2020-10-02,92.0
2020-10-03,147.0
2020-10-04,104.0
2020-10-05,83.0
2020-10-06,72.0
2020-10-07,85.0
2020-10-08,99.0
2020-10-09,122.0
2020-10-10,97.0
2020-10-11,185.0
2020-10-12,35.0
2020-10-13,81.0
2020-10-14,100.0
2020-10-15,93.0
2020-10-16,71.0
2020-10-17,122.0
2020-10-18,100.0
2020-10-19,73.0
2020-10-20,110.0
2020-10-21,99.0
2020-10-22,73.0
2020-10-23,114.0
2020-10-24,150.0
2020-10-25,168.0
2020-10-26,109.0
2020-10-27,74.0
2020-10-28,81.0
2020-10-29,115.0
2020-10-30,112.0
2020-10-31,147.0
2020-11-01,262.0
2020-11-02,217.0
2020-11-03,224.0
2020-11-04,216.0
2020-11-05,213.0
2020-11-06,186.0
2020-11-07,277.0
2020-11-08,268.0
2020-11-09,189.0
2020-11-10,281.0
2020-11-11,235.0
2020-11-12,219.0
2020-11-13,182.0
2020-11-14,292.0
2020-11-15,246.0
2020-11-16,224.0
2020-11-17,235.0
2020-11-18,207.0
2020-11-19,300.0
2020-11-20,206.0
2020-11-21,220.0
2020-11-22,331.0
2020-11-23,276.0
2020-11-24,304.0
2020-11-25,220.0
2020-11-26,232.0
2020-11-27,165.0
2020-11-28,299.0
2020-11-29,243.0
2020-11-30,296.0
2020-12-01,131.0
2020-12-02,116.0
2020-12-03,130.0
2020-12-04,149.0
2020-12-05,168.0
2020-12-06,159.0
2020-12-07,150.0
2020-12-08,151.0
2020-12-09,134.0
2020-12-10,136.0
2020-12-11,155.0
2020-12-12,166.0
2020-12-13,159.0
2020-12-14,136.0
2020-12-15,150.0
2020-12-16,165.0
2020-12-17,196.0
2020-12-18,182.0
2020-12-19,206.0
2020-12-20,209.0
2020-12-21,140.0
2020-12-22,166.0
2020-12-23,161.0
2020-12-24,178.0
2020-12-25,151.0
2020-12-26,233.0
2020-12-27,259.0
2020-12-28,173.0
2020-12-29,188.0
2020-12-30,197.0
2020-12-31,171.0
2021-01-01,187.0
2021-01-02,235.0
2021-01-03,231.0
2021-01-04,167.0
2021-01-05,189.0
2021-01-06,202.0
2021-01-07,227.0
2021-01-08,217.0
2021-01-09,296.0
2021-01-10,234.0
2021-01-11,219.0
2021-01-12,204.0
2021-01-13,255.0
2021-01-14,182.0
2021-01-15,183.0
2021-01-16,237.0
2021-01-17,204.0
2021-01-18,195.0
2021-01-19,191.0
2021-01-20,215.0
2021-01-21,221.0
2021-01-22,261.0
2021-01-23,292.0
2021-01-24,249.0
2021-01-25,196.0
2021-01-26,233.0
2021-01-27,189.0
2021-01-28,269.0
2021-01-29,254.0
2021-01-30,272.0
2021-01-31,233.0
2021-02-01,263.0
2021-02-02,227.0
2021-02-03,263.0
2021-02-04,193.0
2021-02-05,219.0
2021-02-06,296.0
2021-02-07,281.0
2021-02-08,227.0
2021-02-09,255.0
2021-02-10,214.0
2021-02-11,238.0
2021-02-12,246.0
2021-02-13,308.0
2021-02-14,304.0
2021-02-15,219.0
2021-02-16,210.0
2021-02-17,281.0
2021-02-18,259.0
2021-02-19,233.0
2021-02-20,326.0
2021-02-21,323.0
2021-02-22,284.0
2021-02-23,258.0
2021-02-24,308.0
2021-02-25,302.0
2021-02-26,253.0
2021-02-27,333.0
2021-02-28,342.0
2021-03-01,296.0
2021-03-02,239.0
2021-03-03,281.0
2021-03-04,291.0
2021-03-05,221.0
2021-03-06,282.0
2021-03-07,240.0
2021-03-08,261.0
2021-03-09,286.0
2021-03-10,307.0
2021-03-11,272.0
2021-03-12,311.0
2021-03-13,294.0
2021-03-14,291.0
2021-03-15,271.0
2021-03-16,283.0
2021-03-17,273.0
2021-03-18,223.0
2021-03-19,273.0
2021-03-20,288.0
2021-03-21,336.0
2021-03-22,286.0
2021-03-23,253.0
2021-03-24,264.0
2021-03-25,251.0
2021-03-26,277.0
2021-03-27,359.0
2021-03-28,309.0
2021-03-29,292.0
2021-03-30,266.0
2021-03-31,260.0
2021-04-01,277.0
2021-04-02,254.0
2021-04-03,321.0
2021-04-04,308.0
2021-04-05,330.0
2021-04-06,282.0
2021-04-07,263.0
2021-04-08,286.0
2021-04-09,278.0
2021-04-10,326.0
2021-04-11,338.0
2021-04-12,300.0
2021-04-13,268.0
2021-04-14,266.0
2021-04-15,274.0
2021-04-16,223.0
2021-04-17,278.0
2021-04-18,375.0
2021-04-19,321.0
2021-04-20,274.0
2021-04-21,294.0
2021-04-22,287.0
2021-04-23,356.0
2021-04-24,363.0
2021-04-25,324.0
2021-04-26,254.0
2021-04-27,238.0
2021-04-28,283.0
2021-04-29,258.0
2021-04-30,241.0
2021-05-01,427.0
2021-05-02,438.0
2021-05-03,425.0
2021-05-04,403.0
2021-05-05,344.0
2021-05-06,358.0
2021-05-07,383.0
2021-05-08,404.0
2021-05-09,458.0
2021-05-10,390.0
2021-05-11,344.0
2021-05-12,388.0
2021-05-13,349.0
2021-05-14,319.0
2021-05-15,457.0
2021-05-16,468.0
2021-05-17,342.0
2021-05-18,370.0
2021-05-19,336.0
2021-05-20,354.0
2021-05-21,349.0
2021-05-22,409.0
2021-05-23,413.0
2021-05-24,303.0
2021-05-25,358.0
2021-05-26,374.0
2021-05-27,346.0
2021-05-28,330.0
2021-05-29,416.0
2021-05-30,415.0
2021-05-31,336.0
2021-06-01,229.0
2021-06-02,255.0
2021-06-03,270.0
2021-06-04,209.0
2021-06-05,320.0
2021-06-06,278.0
2021-06-07,262.0
2021-06-08,227.0
2021-06-09,200.0
2021-06-10,204.0
2021-06-11,244.0
2021-06-12,301.0
2021-06-13,265.0
2021-06-14,256.0
2021-06-15,197.0
2021-06-16,236.0
2021-06-17,206.0
2021-06-18,219.0
2021-06-19,270.0
2021-06-20,273.0
2021-06-21,223.0
2021-06-22,256.0
2021-06-23,215.0
2021-06-24,250.0
2021-06-25,199.0
2021-06-26,302.0
2021-06-27,310.0
2021-06-28,162.0
2021-06-29,203.0
2021-06-30,236.0
2021-07-01,216.0
2021-07-02,229.0
2021-07-03,250.0
2021-07-04,256.0
2021-07-05,212.0
2021-07-06,244.0
2021-07-07,220.0
2021-07-08,221.0
2021-07-09,201.0
2021-07-10,248.0
2021-07-11,249.0
2021-07-12,218.0
2021-07-13,196.0
2021-07-14,213.0
2021-07-15,457.0
2021-07-16,225.0
2021-07-17,226.0
2021-07-18,272.0
2021-07-19,190.0
2021-07-20,148.0
2021-07-21,173.0
2021-07-22,150.0
2021-07-23,187.0
2021-07-24,235.0
2021-07-25,288.0
2021-07-26,201.0
2021-07-27,186.0
2021-07-28,211.0
2021-07-29,134.0
2021-07-30,195.0
2021-07-31,274.0
2021-08-01,213.0
2021-08-02,214.0
2021-08-03,193.0
2021-08-04,173.0
2021-08-05,199.0
2021-08-06,239.0
2021-08-07,251.0
2021-08-08,225.0
2021-08-09,168.0
2021-08-10,157.0
2021-08-11,198.0
2021-08-12,155.0
2021-08-13,178.0
2021-08-14,217.0
2021-08-15,223.0
2021-08-16,182.0
2021-08-17,199.0
2021-08-18,159.0
2021-08-19,165.0
2021-08-20,146.0
2021-08-21,214.0
2021-08-22,235.0
2021-08-23,188.0
2021-08-24,145.0
2021-08-25,189.0
2021-08-26,201.0
2021-08-27,177.0
2021-08-28,262.0
2021-08-29,194.0
2021-08-30,134.0
2021-08-31,120.0
2021-09-01,201.0
2021-09-02,180.0
2021-09-03,162.0
2021-09-04,203.0
2021-09-05,201.0
2021-09-06,223.0
2021-09-07,165.0
2021-09-08,164.0
2021-09-09,179.0
2021-09-10,173.0
2021-09-11,219.0
2021-09-12,188.0
2021-09-13,172.0
2021-09-14,207.0
2021-09-15,193.0
2021-09-16,199.0
2021-09-17,146.0
2021-09-18,177.0
2021-09-19,213.0
2021-09-20,160.0
2021-09-21,186.0
2021-09-22,117.0
2021-09-23,197.0
2021-09-24,155.0
2021-09-25,199.0
2021-09-26,191.0
2021-09-27,118.0
2021-09-28,180.0
2021-09-29,161.0
2021-09-30,128.0
2021-10-01,128.0
2021-10-02,202.0
2021-10-03,259.0
2021-10-04,154.0
2021-10-05,123.0
2021-10-06,155.0
2021-10-07,155.0
2021-10-08,95.0
2021-10-09,214.0
2021-10-10,214.0
2021-10-11,181.0
2021-10-12,210.0
2021-10-13,192.0
2021-10-14,158.0
2021-10-15,138.0
2021-10-16,297.0
2021-10-17,238.0
2021-10-18,167.0
2021-10-19,167.0
2021-10-20,173.0
2021-10-21,165.0
2021-10-22,155.0
2021-10-23,207.0
2021-10-24,201.0
2021-10-25,158.0
2021-10-26,155.0
2021-10-27,176.0
2021-10-28,168.0
2021-10-29,213.0
2021-10-30,168.0
2021-10-31,252.0
2021-11-01,294.0
2021-11-02,248.0
2021-11-03,259.0
2021-11-04,289.0
2021-11-05,281.0
2021-11-06,302.0
2021-11-07,314.0
2021-11-08,306.0
2021-11-09,324.0
2021-11-10,323.0
2021-11-11,316.0
2021-11-12,248.0
2021-11-13,281.0
2021-11-14,369.0
2021-11-15,221.0
2021-11-16,305.0
2021-11-17,308.0
2021-11-18,291.0
2021-11-19,354.0
2021-11-20,381.0
2021-11-21,306.0
2021-11-22,331.0
2021-11-23,275.0
2021-11-24,288.0
2021-11-25,301.0
2021-11-26,288.0
2021-11-27,322.0
2021-11-28,338.0
2021-11-29,329.0
2021-11-30,274.0
2021-12-01,200.0
2021-12-02,241.0
2021-12-03,199.0
2021-12-04,237.0
2021-12-05,221.0
2021-12-06,236.0
2021-12-07,190.0
2021-12-08,268.0
2021-12-09,173.0
2021-12-10,269.0
2021-12-11,293.0
2021-12-12,265.0
2021-12-13,218.0
2021-12-14,243.0
2021-12-15,233.0
2021-12-16,263.0
2021-12-17,240.0
2021-12-18,317.0
2021-12-19,286.0
2021-12-20,241.0
2021-12-21,251.0
2021-12-22,203.0
2021-12-23,213.0
2021-12-24,267.0
2021-12-25,285.0
2021-12-26,316.0
2021-12-27,254.0
2021-12-28,263.0
2021-12-29,243.0
2021-12-30,239.0
2021-12-31,264.0
2022-01-01,290.0
2022-01-02,333.0
2022-01-03,222.0
2022-01-04,292.0
2022-01-05,280.0
2022-01-06,276.0
2022-01-07,296.0
2022-01-08,360.0
2022-01-09,340.0
2022-01-10,230.0
2022-01-11,245.0
2022-01-12,263.0
2022-01-13,281.0
2022-01-14,295.0
2022-01-15,312.0
2022-01-16,339.0
2022-01-17,268.0
2022-01-18,273.0
2022-01-19,255.0
2022-01-20,268.0
2022-01-21,259.0
2022-01-22,337.0
2022-01-23,376.0
2022-01-24,274.0
2022-01-25,365.0
2022-01-26,313.0
2022-01-27,306.0
2022-01-28,282.0
2022-01-29,359.0
2022-01-30,340.0
2022-01-31,310.0
2022-02-01,373.0
2022-02-02,308.0
2022-02-03,340.0
2022-02-04,295.0
2022-02-05,364.0
2022-02-06,418.0
2022-02-07,301.0
2022-02-08,364.0
2022-02-09,337.0
2022-02-10,307.0
2022-02-11,338.0
2022-02-12,379.0
2022-02-13,396.0
2022-02-14,286.0
2022-02-15,309.0
2022-02-16,322.0
2022-02-17,327.0
2022-02-18,346.0
2022-02-19,364.0
2022-02-20,358.0
2022-02-21,343.0
2022-02-22,350.0
2022-02-23,350.0
2022-02-24,364.0
2022-02-25,359.0
2022-02-26,406.0
2022-02-27,395.0
2022-02-28,299.0
2022-03-01,352.0
2022-03-02,348.0
2022-03-03,350.0
2022-03-04,312.0
2022-03-05,376.0
2022-03-06,423.0
2022-03-07,346.0
2022-03-08,365.0
2022-03-09,349.0
2022-03-10,200.0
2022-03-11,373.0
2022-03-12,383.0
2022-03-13,399.0
2022-03-14,340.0
2022-03-15,342.0
2022-03-16,345.0
2022-03-17,359.0
2022-03-18,342.0
2022-03-19,447.0
2022-03-20,385.0
2022-03-21,351.0
2022-03-22,345.0
2022-03-23,393.0
2022-03-24,362.0
2022-03-25,383.0
2022-03-26,362.0
2022-03-27,409.0
2022-03-28,381.0
2022-03-29,361.0
2022-03-30,386.0
2022-03-31,347.0
2022-04-01,395.0
2022-04-02,477.0
2022-04-03,392.0
2022-04-04,349.0
2022-04-05,397.0
2022-04-06,400.0
2022-04-07,348.0
2022-04-08,350.0
2022-04-09,393.0
2022-04-10,386.0
2022-04-11,338.0
2022-04-12,336.0
2022-04-13,342.0
2022-04-14,360.0
2022-04-15,367.0
2022-04-16,440.0
2022-04-17,390.0
2022-04-18,385.0
2022-04-19,355.0
2022-04-20,359.0
2022-04-21,377.0
2022-04-22,331.0
2022-04-23,412.0
2022-04-24,419.0
2022-04-25,371.0
2022-04-26,365.0
2022-04-27,419.0
2022-04-28,342.0
2022-04-29,344.0
2022-04-30,375.0
2022-05-01,501.0
2022-05-02,454.0
2022-05-03,490.0
2022-05-04,503.0
2022-05-05,439.0
2022-05-06,409.0
2022-05-07,539.0
2022-05-08,480.0
2022-05-09,449.0
2022-05-10,453.0
2022-05-11,395.0
2022-05-12,480.0
2022-05-13,501.0
2022-05-14,488.0
2022-05-15,470.0
2022-05-16,445.0
2022-05-17,476.0
2022-05-18,472.0
2022-05-19,537.0
2022-05-20,463.0
2022-05-21,502.0
2022-05-22,444.0
2022-05-23,439.0
2022-05-24,439.0
2022-05-25,474.0
2022-05-26,429.0
2022-05-27,463.0
2022-05-28,507.0
2022-05-29,500.0
2022-05-30,513.0
2022-05-31,408.0
2022-06-01,321.0
2022-06-02,359.0
2022-06-03,349.0
2022-06-04,432.0
2022-06-05,380.0
2022-06-06,319.0
2022-06-07,342.0
2022-06-08,354.0
2022-06-09,346.0
2022-06-10,337.0
2022-06-11,401.0
2022-06-12,421.0
2022-06-13,356.0
2022-06-14,336.0
2022-06-15,315.0
2022-06-16,321.0
2022-06-17,347.0
2022-06-18,355.0
2022-06-19,387.0
2022-06-20,303.0
2022-06-21,313.0
2022-06-22,343.0
2022-06-23,315.0
2022-06-24,310.0
2022-06-25,315.0
2022-06-26,395.0
2022-06-27,321.0
2022-06-28,358.0
2022-06-29,295.0
2022-06-30,307.0
2022-07-01,307.0
2022-07-02,393.0
2022-07-03,351.0
2022-07-04,304.0
2022-07-05,311.0
2022-07-06,300.0
2022-07-07,283.0
2022-07-08,297.0
2022-07-09,357.0
2022-07-10,318.0
2022-07-11,292.0
2022-07-12,270.0
2022-07-13,317.0
2022-07-14,248.0
2022-07-15,271.0
2022-07-16,342.0
2022-07-17,367.0
2022-07-18,280.0
2022-07-19,266.0
2022-07-20,326.0
2022-07-21,242.0
2022-07-22,222.0
2022-07-23,329.0
2022-07-24,321.0
2022-07-25,248.0
2022-07-26,290.0
2022-07-27,278.0
2022-07-28,257.0
2022-07-29,238.0
2022-07-30,335.0
2022-07-31,332.0
2022-08-01,264.0
2022-08-02,312.0
2022-08-03,238.0
2022-08-04,226.0
2022-08-05,246.0
2022-08-06,308.0
2022-08-07,315.0
2022-08-08,254.0
2022-08-09,268.0
2022-08-10,227.0
2022-08-11,294.0
2022-08-12,255.0
2022-08-13,322.0
2022-08-14,303.0
2022-08-15,266.0
2022-08-16,268.0
2022-08-17,264.0
2022-08-18,268.0
2022-08-19,285.0
2022-08-20,307.0
2022-08-21,324.0
2022-08-22,247.0
2022-08-23,285.0
2022-08-24,231.0
2022-08-25,292.0
2022-08-26,246.0
2022-08-27,266.0
2022-08-28,281.0
2022-08-29,228.0
2022-08-30,266.0
2022-08-31,228.0
2022-09-01,233.0
2022-09-02,196.0
2022-09-03,272.0
2022-09-04,231.0
2022-09-05,202.0
2022-09-06,261.0
2022-09-07,261.0
2022-09-08,252.0
2022-09-09,217.0
2022-09-10,288.0
2022-09-11,284.0
2022-09-12,211.0
2022-09-13,277.0
2022-09-14,262.0
2022-09-15,234.0
2022-09-16,240.0
2022-09-17,298.0
2022-09-18,242.0
2022-09-19,233.0
2022-09-20,222.0
2022-09-21,214.0
2022-09-22,232.0
2022-09-23,284.0
2022-09-24,304.0
2022-09-25,292.0
2022-09-26,253.0
2022-09-27,274.0
2022-09-28,262.0
2022-09-29,241.0
2022-09-30,224.0
2022-10-01,298.0
2022-10-02,316.0
2022-10-03,263.0
2022-10-04,257.0
2022-10-05,267.0
2022-10-06,228.0
2022-10-07,275.0
2022-10-08,319.0
2022-10-09,343.0
2022-10-10,226.0
2022-10-11,287.0
2022-10-12,249.0
2022-10-13,228.0
2022-10-14,233.0
2022-10-15,276.0
2022-10-16,301.0
2022-10-17,260.0
2022-10-18,233.0
2022-10-19,247.0
2022-10-20,302.0
2022-10-21,292.0
2022-10-22,300.0
2022-10-23,304.0
2022-10-24,254.0
2022-10-25,267.0
2022-10-26,227.0
2022-10-27,247.0
2022-10-28,213.0
2022-10-29,317.0
2022-10-30,317.0
2022-10-31,245.0
2022-11-01,388.0
2022-11-02,327.0
2022-11-03,328.0
2022-11-04,385.0
2022-11-05,440.0
2022-11-06,442.0
2022-11-07,348.0
2022-11-08,402.0
2022-11-09,390.0
2022-11-10,365.0
2022-11-11,381.0
2022-11-12,410.0
2022-11-13,352.0
2022-11-14,422.0
2022-11-15,419.0
2022-11-16,370.0
2022-11-17,382.0
2022-11-18,417.0
2022-11-19,402.0
2022-11-20,413.0
2022-11-21,362.0
2022-11-22,369.0
2022-11-23,424.0
2022-11-24,406.0
2022-11-25,383.0
2022-11-26,471.0
2022-11-27,362.0
2022-11-28,466.0
2022-11-29,371.0
2022-11-30,398.0
2022-12-01,266.0
2022-12-02,263.0
2022-12-03,380.0
2022-12-04,375.0
2022-12-05,308.0
2022-12-06,300.0
2022-12-07,314.0
2022-12-08,306.0
2022-12-09,273.0
2022-12-10,377.0
2022-12-11,340.0
2022-12-12,271.0
2022-12-13,301.0
2022-12-14,350.0
2022-12-15,336.0
2022-12-16,307.0
2022-12-17,354.0
2022-12-18,373.0
2022-12-19,372.0
2022-12-20,332.0
2022-12-21,334.0
2022-12-22,351.0
2022-12-23,333.0
2022-12-24,390.0
2022-12-25,373.0
2022-12-26,330.0
2022-12-27,332.0
2022-12-28,353.0
2022-12-29,338.0
2022-12-30,356.0
2022-12-31,386.0
2023-01-01,393.0
2023-01-02,293.0
2023-01-03,368.0
2023-01-04,355.0
2023-01-05,373.0
2023-01-06,277.0
2023-01-07,463.0
2023-01-08,408.0
2023-01-09,382.0
2023-01-10,330.0
2023-01-11,373.0
2023-01-12,333.0
2023-01-13,345.0
2023-01-14,454.0
2023-01-15,407.0
2023-01-16,371.0
2023-01-17,388.0
2023-01-18,381.0
2023-01-19,373.0
2023-01-20,380.0
2023-01-21,481.0
2023-01-22,426.0
2023-01-23,381.0
2023-01-24,403.0
2023-01-25,406.0
2023-01-26,410.0
2023-01-27,398.0
2023-01-28,417.0
2023-01-29,483.0
2023-01-30,357.0
2023-01-31,395.0
2023-02-01,370.0
2023-02-02,389.0
2023-02-03,400.0
2023-02-04,449.0
2023-02-05,466.0
2023-02-06,436.0
2023-02-07,408.0
2023-02-08,392.0
2023-02-09,424.0
2023-02-10,430.0
2023-02-11,434.0
2023-02-12,466.0
2023-02-13,422.0
2023-02-14,398.0
2023-02-15,441.0
2023-02-16,404.0
2023-02-17,412.0
2023-02-18,455.0
2023-02-19,448.0
2023-02-20,385.0
2023-02-21,378.0
2023-02-22,455.0
2023-02-23,395.0
2023-02-24,392.0
2023-02-25,419.0
2023-02-26,455.0
2023-02-27,387.0
2023-02-28,462.0
2023-03-01,447.0
2023-03-02,405.0
2023-03-03,480.0
2023-03-04,489.0
2023-03-05,466.0
2023-03-06,364.0
2023-03-07,484.0
2023-03-08,393.0
2023-03-09,387.0
2023-03-10,455.0
2023-03-11,542.0
2023-03-12,513.0
2023-03-13,445.0
2023-03-14,447.0
2023-03-15,454.0
2023-03-16,452.0
2023-03-17,441.0
2023-03-18,485.0
2023-03-19,464.0
2023-03-20,417.0
2023-03-21,429.0
2023-03-22,394.0
2023-03-23,434.0
2023-03-24,413.0
2023-03-25,465.0
2023-03-26,477.0
2023-03-27,473.0
2023-03-28,462.0
2023-03-29,400.0
2023-03-30,415.0
2023-03-31,463.0
2023-04-01,451.0
2023-04-02,479.0
2023-04-03,454.0
2023-04-04,416.0
2023-04-05,443.0
2023-04-06,407.0
2023-04-07,426.0
2023-04-08,511.0
2023-04-09,446.0
2023-04-10,452.0
2023-04-11,440.0
2023-04-12,455.0
2023-04-13,446.0
2023-04-14,475.0
2023-04-15,498.0
2023-04-16,475.0
2023-04-17,443.0
2023-04-18,454.0
2023-04-19,441.0
2023-04-20,441.0
2023-04-21,422.0
2023-04-22,473.0
2023-04-23,459.0
2023-04-24,483.0
2023-04-25,407.0
2023-04-26,421.0
2023-04-27,420.0
2023-04-28,460.0
2023-04-29,481.0
2023-04-30,512.0
2023-05-01,581.0
2023-05-02,570.0
2023-05-03,489.0
2023-05-04,593.0
2023-05-05,492.0
2023-05-06,575.0
2023-05-07,584.0
2023-05-08,551.0
2023-05-09,514.0
2023-05-10,547.0
2023-05-11,552.0
2023-05-12,554.0
2023-05-13,578.0
2023-05-14,638.0
2023-05-15,527.0
2023-05-16,483.0
2023-05-17,509.0
2023-05-18,622.0
2023-05-19,509.0
2023-05-20,627.0
2023-05-21,593.0
2023-05-22,484.0
2023-05-23,524.0
2023-05-24,559.0
2023-05-25,489.0
2023-05-26,514.0
2023-05-27,527.0
2023-05-28,507.0
2023-05-29,513.0
2023-05-30,497.0
2023-05-31,507.0
2023-06-01,394.0
2023-06-02,418.0
2023-06-03,430.0
2023-06-04,474.0
2023-06-05,430.0
2023-06-06,359.0
2023-06-07,417.0
2023-06-08,437.0
2023-06-09,375.0
2023-06-10,485.0
2023-06-11,462.0
2023-06-12,384.0
2023-06-13,400.0
2023-06-14,414.0
2023-06-15,401.0
2023-06-16,411.0
2023-06-17,405.0
2023-06-18,457.0
2023-06-19,359.0
2023-06-20,390.0
2023-06-21,369.0
2023-06-22,373.0
2023-06-23,421.0
2023-06-24,472.0
